address,city,country,name,postal_code,state,enriched_address,enriched_aka,enriched_canonical_name,enriched_city,enriched_confidence,enriched_country,enriched_ids,enriched_lat,enriched_lon,enriched_postal_code,enriched_state,enriched_websites,row_index,success,message,evidence_count
"Building 3 Room 11c, No. 31 Zizhu Yuan Road",Beijing,CN,Beijing Zing Found Network Co.ltd,100089,BEIJING,,,,,,,,,,,,,0,False,The tools summary does not mention any organization related to 'Beijing Zing Found Network Co.ltd'.,
3/f Plaza Chambers,Springwood,AU,Engineered Services (australia) Pty. Limited,4127,QLD,,,,,,,,,,,,,1,False,No results from the tools directly reference 'Engineered Services (australia) Pty. Limited' or provide relevant information about the organization.,
Shàngbùzhōnglù,Shēnzhènshì,CN,No.6 Mechanical Design & Research Institute,518027,GUǍNGDŌNGSHĚNG,,,,,,,,,,,,,2,False,No direct matches found for the input company in the tool results.,
"6/F., PARAMOUNT BUILDING, 12 KA YIP STREET",HONG KONG,CN,Bas Engineering Limited,-,HONG KONG,"Room 708, Paramount Building, 12 Ka Yip Street",[],BAS Engineering Limited,Chai Wan,0.75,HK,{},,,,HONG KONG,"['http://www.bashk.com/template?series=38', 'https://www.southa.com/en/about-us/company-structure/bas-engineering-limited', 'https://www.builderhk.com/app/listing-detail.php?q=22800560&l=en', 'http://www.bashk.com/']",3,True,OK,9
"工行北京长安分理处, .",BEIJING,CN,北京华力豪顺科技公司,.,CHINA,,,,,,,,,,,,,4,False,The queries do not provide sufficient evidence to confirm they refer to the same organization as the input company.,
"中国工商银行北京经济技术开发区, 支行营业室",BEIJING,CN,施耐德电气中国投资有限公司,.,CHINA,,,,,,,,,,,,,5,False,Merge returned empty or failed.,
"中行金山支行石化分理处, .",SHANGHAI,CN,中国金山联合贸易有限责任公司,.,CHINA,金山区金一东路1号金山宾馆南8楼,[],中国金山联合贸易有限责任公司,上海市,0.75,中国,{},,,,,[],6,True,OK,4
"深圳市招商银行总行营业部, .",SHENZHEN,CN,能殷自动化贸易(深圳)有限公司,.,CHINA,深圳市上步中路工会大厦B座6楼西,[],能殷自动化贸易有限公司,深圳,0.75,中国,{},,,581031,,['http://www.nengyin.cn'],7,True,OK,6
"天津商业银行协通支行, .",TIANJIN,CN,天津市开发区泰达大厦房地产开发有限公司泰达俱乐部,.,CHINA,,,,,,,,,,,,,8,False,No relevant results found that match the input company.,
1155 Connecticut Ave Nw,Washington,US,"Pacific Bridge, Inc.",20036,DC,1155 Connecticut Ave NW,[],"Pacific Bridge, Inc",Washington,0.85,United States,{},38.9054596,-77.0406251,20036,DC,[],9,True,OK,8
"Rm 906, # 2 Building",Zhong Shan Bei Yi Road,CN,Shanghai North-power Electromechanical Instrument Complete Set Co Ltd,200437,SHANGHAI,,,,,,,,,,,,,10,False,The tools summary does not provide any information about the specific organization 'Shanghai North-power Electromechanical Instrument Complete Set Co Ltd'.,
"Office Tower,new Century Hotel F/5, No. 6 Nanwei Road Nan Alley",Beijing,CN,Dec Prc Limited Beijing Service Station,100050,BEIJING,,,,,,,,,,,,,11,False,No results from the tools directly reference or match the input company.,
分行西便门分理处,交行北京市,CN,北京纳威尔格质量咨询有限公司,100031,北京市,,[],纳威尔格（北京）管理咨询有限公司,北京市,0.75,CN,{},,,,北京市,[],12,True,OK,4
"2/F CONCORD COMMERCIAL BUILDING, 157 KING'S ROAD,",HONG KONG,CN,Beria Consultants Ltd,-,HONG KONG,,[],Beria Consultants Limited,Hong Kong,0.55,CN,{},,,,,"['https://sourcing.hktdc.com/en/Supplier-Store-Directory/Beria-Consultants-Limited/1X08PGDB', 'https://archello.com/brand/beria-consultants-ltd', 'https://beria.com.hk/']",13,True,OK,6
"SUTE 1900,TUNG WAH MANSION, 199-203 HENNESSY ROAD",HONG KONG,CN,Growinet Ltd,-,HONG KONG,RM 1902 19/F Tung Wah Mansion 199-203 Hennessy RD,[],Growinet Limited,Wan Chai,0.75,Hong Kong (China),{},,,,Hong Kong,['http://www.growinet.com.hk'],14,True,OK,6
